standard_name,gene
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,BGN
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,COL4A4
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,SRPX
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,THSD4
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,ADAMTSL1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,ANGPTL4
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,ANXA2
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,CD109
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,COL18A1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,CTSB
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,ECM1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,HCFC1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,HTRA1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,LEPREL2
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,LGALS3
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,LMAN1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,LOXL2
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,P4HA1
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,PLOD2
NABA_Hs_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED,PLOD3
